oui_prefix,change_type,observed_at,previous_org,current_org,source_url,source_archive_url
000048,recased,2017-09-08T02:05:22.000Z,SEIKO EPSON CORPORATION,Seiko Epson Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000064,renamed,2017-09-08T02:05:22.000Z,Yokogawa Electric Corporation,Yokogawa Digital Computer Corporation,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000097,renamed,2017-09-08T02:05:22.000Z,EMC Corporation,Dell EMC,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0000FE,renamed,2017-09-08T02:05:22.000Z,ANNAPOLIS MICRO SYSTEMS,"Annapolis Micro Systems, Inc.",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000144,renamed,2017-09-08T02:05:22.000Z,EMC Corporation,Dell EMC,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00014F,recased,2017-09-08T02:05:22.000Z,ADTRAN INC,Adtran Inc,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000422,renamed,2017-09-08T02:05:22.000Z,"Gordon Kapes, Inc.","Studio Technologies, Inc",https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
00054F,renamed,2017-09-08T02:05:22.000Z,Private,Garmin International,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
0005A7,recased,2017-09-08T02:05:22.000Z,"Hyperchip, Inc.",HYPERCHIP Inc.,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
000631,renamed,2017-09-08T02:05:22.000Z,Calix,Calix Inc.,https://standards-oui.ieee.org/oui/oui.csv,https://web.archive.org/web/20170908020522id_/https://standards-oui.ieee.org/oui/oui.csv
